2015-01-03T15:04:19.000200	2015-03-02T02:09:31.000680	KGPS06	1
2015-03-12T05:56:58.000560	2015-03-22T01:46:07.000680	KGPS06	1
2015-04-01T05:38:49.000920	2015-06-09T00:28:09.000120	KGPS06	1
2015-11-24T05:46:40.000800	2016-05-17T19:52:43.000392	KGPS06	1

2015-01-03T19:06:05.000760	2015-11-23T21:43:07.000680	KGPS07	2

2015-01-03T15:04:19.000200	2015-05-13T00:55:48.000000	KGPS08	3
2015-11-24T06:07:42.000240	2016-06-14T09:13:33.000888	KGPS08	3

2016-01-04T01:10:14.000592	2016-02-05T14:46:15.000744	KGPS11	4
2016-02-06T14:50:21.000120	2016-04-13T18:10:34.000176	KGPS11	4
2016-05-11T19:49:16.000032	2016-06-20T21:29:36.000384	KGPS11	4
2016-09-29T03:04:46.000848	2016-12-24T06:39:27.000360	KGPS11	4
2016-12-25T06:43:32.000736	2016-12-28T06:50:32.000640	KGPS11	4
2016-12-29T06:54:38.000016	2016-12-29T18:56:40.000704	KGPS11	4
2016-12-30T19:00:46.000080	2016-12-30T19:00:46.000080	KGPS11	4
2017-01-01T19:00:33.000120	2017-01-01T19:00:33.000120	KGPS11	4
2017-01-02T19:00:41.000760	2017-01-05T07:01:03.000360	KGPS11	4
2017-01-06T18:56:00.000960	2017-01-07T06:56:05.000280	KGPS11	4
2017-01-08T18:56:18.000240	2017-01-10T18:51:20.000160	KGPS11	4
2017-01-11T18:51:28.000800	2017-01-16T06:46:52.000320	KGPS11	4
2017-01-17T06:47:00.000960	2017-01-17T06:47:00.000960	KGPS11	4
2017-01-18T06:47:09.000600	2017-01-20T06:42:11.000520	KGPS11	4
2017-01-21T06:42:20.000160	2017-01-22T06:42:28.000800	KGPS11	4
2017-01-23T06:42:37.000440	2017-01-24T18:37:35.000040	KGPS11	4
2017-01-25T18:37:43.000680	2017-01-26T06:37:48.000000	KGPS11	4
2017-01-27T06:37:56.000640	2017-02-01T06:33:24.000480	KGPS11	4
2017-02-02T18:33:37.000440	2017-02-05T18:28:48.000000	KGPS11	4
2017-02-06T18:28:56.000640	2017-02-09T06:24:02.000880	KGPS11	4
2017-02-10T06:24:11.000520	2017-02-12T18:19:17.000760	KGPS11	4
2017-02-13T18:19:26.000400	2017-02-18T06:14:49.000920	KGPS11	4
2017-02-19T06:14:58.000560	2017-02-21T06:10:00.000480	KGPS11	4
2017-02-22T06:10:09.000120	2017-02-25T06:10:35.000040	KGPS11	4
2017-02-26T18:05:32.000640	2017-03-11T05:56:49.000920	KGPS11	4
2017-03-12T17:51:47.000520	2017-03-14T05:52:00.000480	KGPS11	4
2017-03-15T05:52:09.000120	2017-03-17T17:47:15.000360	KGPS11	4
2017-03-19T05:47:28.000320	2017-03-27T17:38:11.000040	KGPS11	4
2017-03-28T17:38:19.000680	2017-03-28T17:38:19.000680	KGPS11	4
2017-03-29T17:38:28.000320	2017-04-05T06:21:27.000360	KGPS11	4
2017-04-06T17:29:06.000720	2017-04-10T05:24:21.000600	KGPS11	4
2017-09-27T15:58:32.000160	2017-09-27T15:58:32.000160	KGPS11	4
2017-09-28T15:58:40.000800	2017-09-28T15:58:40.000800	KGPS11	4
2017-10-01T15:59:06.000720	2017-10-01T15:59:06.000720	KGPS11	4
2017-10-10T14:25:48.000000	2017-10-13T14:20:58.000560	KGPS11	4
2017-10-14T14:21:07.000200	2017-10-23T14:11:54.000240	KGPS11	4
2017-10-24T14:12:02.000880	2017-10-24T14:12:02.000880	KGPS11	4
2017-11-04T13:57:51.000840	2017-11-10T01:53:24.000000	KGPS11	4
2017-11-11T01:53:32.000640	2017-11-12T01:53:41.000280	KGPS11	4
